country,value,year,month
australia,96.4,2024,4
australia,96.17,2024,5
australia,96.52,2024,6
australia,96.77,2024,7
australia,96.49,2024,8
australia,96.54,2024,9
australia,96.32,2024,10
australia,96.68,2024,11
australia,97.31,2024,12
australia,97.58,2025,1
australia,97.67,2025,2
australia,97.96,2025,3
australia,98.68,2025,4
australia,98.2,2025,5
australia,98.34,2025,6
australia,99.63,2025,7
australia,99.55,2025,8
australia,100.0,2025,9
australia,99.99,2025,10
australia,100.01,2025,11
australia,100.97,2025,12
brazil,2550.36,2006,1
brazil,2560.82,2006,2
brazil,2571.83,2006,3
brazil,2577.23,2006,4
brazil,2579.81,2006,5
brazil,2574.39,2006,6
brazil,2579.28,2006,7
brazil,2580.57,2006,8
brazil,2585.99,2006,9
brazil,2594.52,2006,10
brazil,2602.56,2006,11
brazil,2615.05,2006,12
brazil,2626.56,2007,1
brazil,2638.12,2007,2
brazil,2647.88,2007,3
brazil,2654.5,2007,4
brazil,2661.93,2007,5
brazil,2669.38,2007,6
brazil,2675.79,2007,7
brazil,2688.37,2007,8
brazil,2693.21,2007,9
brazil,2701.29,2007,10
brazil,2711.55,2007,11
brazil,2731.62,2007,12
brazil,2746.37,2008,1
brazil,2759.83,2008,2
brazil,2773.08,2008,3
brazil,2788.33,2008,4
brazil,2810.36,2008,5
brazil,2831.16,2008,6
brazil,2846.16,2008,7
brazil,2854.13,2008,8
brazil,2861.55,2008,9
brazil,2874.43,2008,10
brazil,2884.78,2008,11
brazil,2892.86,2008,12
brazil,2906.74,2009,1
brazil,2922.73,2009,2
brazil,2928.57,2009,3
brazil,2942.63,2009,4
brazil,2956.46,2009,5
brazil,2967.1,2009,6
brazil,2974.22,2009,7
brazil,2978.68,2009,8
brazil,2985.83,2009,9
brazil,2994.19,2009,10
brazil,3006.47,2009,11
brazil,3017.59,2009,12
brazil,3040.22,2010,1
brazil,3063.93,2010,2
brazil,3079.86,2010,3
brazil,3097.42,2010,4
brazil,3110.74,2010,5
brazil,3110.74,2010,6
brazil,3111.05,2010,7
brazil,3112.29,2010,8
brazil,3126.29,2010,9
brazil,3149.74,2010,10
brazil,3175.88,2010,11
brazil,3195.89,2010,12
brazil,3222.42,2011,1
brazil,3248.2,2011,2
brazil,3273.86,2011,3
brazil,3299.07,2011,4
brazil,3314.58,2011,5
brazil,3319.55,2011,6
brazil,3324.86,2011,7
brazil,3337.16,2011,8
brazil,3354.85,2011,9
brazil,3369.28,2011,10
brazil,3386.8,2011,11
brazil,3403.73,2011,12
brazil,3422.79,2012,1
brazil,3438.19,2012,2
brazil,3445.41,2012,3
brazil,3467.46,2012,4
brazil,3479.94,2012,5
brazil,3482.72,2012,6
brazil,3497.7,2012,7
brazil,3512.04,2012,8
brazil,3532.06,2012,9
brazil,3552.9,2012,10
brazil,3574.22,2012,11
brazil,3602.46,2012,12
brazil,3633.44,2013,1
brazil,3655.24,2013,2
brazil,3672.42,2013,3
brazil,3692.62,2013,4
brazil,3706.28,2013,5
brazil,3715.92,2013,6
brazil,3717.03,2013,7
brazil,3725.95,2013,8
brazil,3738.99,2013,9
brazil,3760.3,2013,10
brazil,3780.61,2013,11
brazil,3815.39,2013,12
brazil,3836.37,2014,1
brazil,3862.84,2014,2
brazil,3898.38,2014,3
brazil,3924.5,2014,4
brazil,3942.55,2014,5
brazil,3958.32,2014,6
brazil,3958.72,2014,7
brazil,3968.62,2014,8
brazil,3991.24,2014,9
brazil,4008.0,2014,10
brazil,4028.44,2014,11
brazil,4059.86,2014,12
brazil,4110.2,2015,1
brazil,4160.34,2015,2
brazil,4215.26,2015,3
brazil,4245.19,2015,4
brazil,4276.6,2015,5
brazil,4310.39,2015,6
brazil,4337.11,2015,7
brazil,4346.65,2015,8
brazil,4370.12,2015,9
brazil,4405.95,2015,10
brazil,4450.45,2015,11
brazil,4493.17,2015,12
brazil,4550.23,2016,1
brazil,4591.18,2016,2
brazil,4610.92,2016,3
brazil,4639.05,2016,4
brazil,4675.23,2016,5
brazil,4691.59,2016,6
brazil,4715.99,2016,7
brazil,4736.74,2016,8
brazil,4740.53,2016,9
brazil,4752.86,2016,10
brazil,4761.42,2016,11
brazil,4775.7,2016,12
brazil,4793.85,2017,1
brazil,4809.67,2017,2
brazil,4821.69,2017,3
brazil,4828.44,2017,4
brazil,4843.41,2017,5
brazil,4832.27,2017,6
brazil,4843.87,2017,7
brazil,4853.07,2017,8
brazil,4860.83,2017,9
brazil,4881.25,2017,10
brazil,4894.92,2017,11
brazil,4916.46,2017,12
brazil,4930.72,2018,1
brazil,4946.5,2018,2
brazil,4950.95,2018,3
brazil,4961.84,2018,4
brazil,4981.69,2018,5
brazil,5044.46,2018,6
brazil,5061.11,2018,7
brazil,5056.56,2018,8
brazil,5080.83,2018,9
brazil,5103.69,2018,10
brazil,5092.97,2018,11
brazil,5100.61,2018,12
brazil,5116.93,2019,1
brazil,5138.93,2019,2
brazil,5177.47,2019,3
brazil,5206.98,2019,4
brazil,5213.75,2019,5
brazil,5214.27,2019,6
brazil,5224.18,2019,7
brazil,5229.93,2019,8
brazil,5227.84,2019,9
brazil,5233.07,2019,10
brazil,5259.76,2019,11
brazil,5320.25,2019,12
brazil,5331.42,2020,1
brazil,5344.75,2020,2
brazil,5348.49,2020,3
brazil,5331.91,2020,4
brazil,5311.65,2020,5
brazil,5325.46,2020,6
brazil,5344.63,2020,7
brazil,5357.46,2020,8
brazil,5391.75,2020,9
brazil,5438.12,2020,10
brazil,5486.52,2020,11
brazil,5560.59,2020,12
brazil,5574.49,2021,1
brazil,5622.43,2021,2
brazil,5674.72,2021,3
brazil,5692.31,2021,4
brazil,5739.56,2021,5
brazil,5769.98,2021,6
brazil,5825.37,2021,7
brazil,5876.05,2021,8
brazil,5944.21,2021,9
brazil,6018.51,2021,10
brazil,6075.69,2021,11
brazil,6120.04,2021,12
brazil,6153.09,2022,1
brazil,6215.24,2022,2
brazil,6315.93,2022,3
brazil,6382.88,2022,4
brazil,6412.88,2022,5
brazil,6455.85,2022,6
brazil,6411.95,2022,7
brazil,6388.87,2022,8
brazil,6370.34,2022,9
brazil,6407.93,2022,10
brazil,6434.2,2022,11
brazil,6474.09,2022,12
brazil,6508.4,2023,1
brazil,6563.07,2023,2
brazil,6609.67,2023,3
brazil,6649.99,2023,4
brazil,6665.28,2023,5
brazil,6659.95,2023,6
brazil,6667.94,2023,7
brazil,6683.28,2023,8
brazil,6700.66,2023,9
brazil,6716.74,2023,10
brazil,6735.55,2023,11
brazil,6773.27,2023,12
brazil,6801.72,2024,1
brazil,6858.17,2024,2
