country,year,month,lsci
australia,2006,2,139.19
australia,2006,5,141.65
australia,2006,8,142.0
australia,2006,11,140.77
australia,2007,2,141.92
australia,2007,5,146.75
australia,2007,8,146.7
australia,2007,11,147.48
australia,2008,2,152.36
australia,2008,5,157.76
australia,2008,8,161.46
australia,2008,11,156.0
australia,2009,2,151.48
australia,2009,5,150.21
australia,2009,8,143.99
australia,2009,11,146.99
australia,2010,2,145.51
australia,2010,5,148.77
australia,2010,8,154.83
australia,2010,11,160.15
australia,2011,2,157.96
australia,2011,5,156.65
australia,2011,8,157.76
australia,2011,11,150.75
australia,2012,2,147.94
australia,2012,5,145.85
australia,2012,8,145.08
australia,2012,11,149.16
australia,2013,2,152.48
australia,2013,5,146.55
australia,2013,8,152.02
australia,2013,11,154.94
australia,2014,2,156.48
australia,2014,5,159.43
australia,2014,8,158.4
australia,2014,11,162.02
australia,2015,2,159.19
australia,2015,5,153.81
australia,2015,8,154.8
australia,2015,11,155.92
australia,2016,2,157.43
australia,2016,5,154.7
australia,2016,8,156.62
australia,2016,11,157.56
australia,2017,2,148.41
australia,2017,5,142.96
australia,2017,8,147.4
australia,2017,11,145.21
australia,2018,2,142.54
australia,2018,5,146.37
australia,2018,8,145.81
australia,2018,11,145.08
australia,2019,2,146.34
australia,2019,5,150.45
australia,2019,8,144.5
australia,2019,11,141.17
australia,2020,2,138.6
australia,2020,5,137.95
australia,2020,8,140.08
australia,2020,11,145.11
australia,2021,2,148.55
australia,2021,5,147.54
australia,2021,8,145.15
australia,2021,11,145.81
australia,2022,2,148.35
australia,2022,5,150.46
australia,2022,8,148.54
australia,2022,11,150.88
australia,2023,1,149.25
australia,2023,2,148.59
australia,2023,3,145.69
australia,2023,4,151.53
australia,2023,5,152.13
australia,2023,6,152.49
australia,2023,7,152.33
australia,2023,8,153.66
australia,2023,9,153.18
australia,2023,10,150.63
australia,2023,11,144.99
australia,2023,12,145.12
australia,2024,1,144.42
australia,2024,2,144.15
australia,2024,3,143.86
australia,2024,4,144.99
australia,2024,5,144.23
australia,2024,6,141.27
australia,2024,7,141.21
australia,2024,8,139.32
australia,2024,9,138.29
australia,2024,10,140.61
australia,2024,11,141.69
australia,2024,12,141.84
australia,2025,1,142.97
australia,2025,2,142.93
australia,2025,3,142.27
australia,2025,4,142.3
australia,2025,5,142.42
australia,2025,6,140.29
