country,year,month,fx_reserves
australia,2007,2,52027.7823160236
australia,2009,3,30178.917755348
australia,2010,7,39703.1103817729
australia,2011,10,42764.2351193481
australia,2012,9,42448.4868502093
australia,2012,12,44866.0446308335
australia,2013,2,40864.4206810392
australia,2013,10,50800.2170632742
australia,2013,11,51373.0981701444
australia,2014,7,55166.5410415252
australia,2015,2,43313.3093944968
australia,2019,1,41395.4070174947
australia,2024,2,50680.0170512399
australia,2006,8,49523.2349796885
australia,2011,1,36998.9276783112
australia,2013,5,46277.4919711352
australia,2013,9,45911.3264072366
australia,2015,9,44026.9251893288
australia,2015,11,40218.3697437481
australia,2016,7,40258.7786419834
australia,2016,11,41699.354099599
australia,2018,2,52110.2969924106
australia,2019,2,45425.9083081698
australia,2019,9,42668.7245930872
australia,2020,12,39151.9958649892
australia,2021,10,52165.7836733076
australia,2023,3,51977.9877032475
australia,2023,9,51202.5572093574
australia,2024,6,52896.6071802036
australia,2007,8,56067.0078406128
australia,2008,1,29464.6767049541
australia,2008,8,28542.8256421337
australia,2008,10,28105.1514821739
australia,2008,11,28598.3896665813
australia,2011,11,40433.3425238493
australia,2014,2,42972.9577942042
australia,2015,12,42752.855070596
australia,2016,5,48192.7452091692
australia,2017,4,53006.4778154657
australia,2018,6,52690.0139278822
australia,2018,11,45004.4913562248
australia,2019,5,51824.7612324181
australia,2019,11,48588.3449672906
australia,2020,1,45712.2184946616
australia,2021,5,42766.676664726
australia,2021,8,53162.2135956623
australia,2021,9,54329.297254955
australia,2022,11,53563.5134534572
australia,2008,4,31220.1710408478
australia,2008,7,32880.7702381906
australia,2009,8,44095.6434265547
australia,2010,9,38059.1897832356
australia,2011,12,42783.3514869461
australia,2013,12,49744.6134325345
australia,2014,3,54052.0805877142
australia,2015,10,35792.9140489241
australia,2017,5,56226.1078565733
australia,2017,9,52626.0478358203
australia,2018,7,48025.2284229943
australia,2019,7,41358.6411659688
australia,2019,8,44846.5335742522
australia,2020,4,37698.8561096619
australia,2020,8,39696.7038530574
australia,2022,7,50880.1827995701
australia,2022,8,50912.4819308309
australia,2023,12,56605.0948520138
australia,2024,4,49114.0468088976
australia,2006,3,42835.1902874583
australia,2007,4,65512.2670046671
australia,2009,10,41807.4547306835
australia,2010,2,36621.4815305284
australia,2010,3,34851.7672894626
