country,month,year,events
australia,1,2021,2
australia,2,2021,0
australia,3,2021,0
australia,4,2021,0
australia,5,2021,1
australia,6,2021,0
australia,7,2021,2
australia,8,2021,1
australia,9,2021,0
australia,10,2021,1
australia,11,2021,0
australia,12,2021,0
australia,2,2022,1
australia,3,2022,1
australia,6,2022,1
australia,10,2022,1
australia,12,2022,1
australia,10,2023,1
australia,1,2024,1
australia,3,2024,1
australia,4,2024,3
australia,6,2024,1
australia,12,2024,1
australia,8,2025,1
australia,12,2025,1
australia,1,2026,1
brazil,1,2018,828
brazil,2,2018,765
brazil,3,2018,876
brazil,4,2018,898
brazil,5,2018,648
brazil,6,2018,758
brazil,7,2018,809
brazil,8,2018,1027
brazil,9,2018,530
brazil,10,2018,651
brazil,11,2018,676
brazil,12,2018,566
brazil,1,2019,858
brazil,2,2019,434
brazil,3,2019,594
brazil,4,2019,487
brazil,5,2019,571
brazil,6,2019,517
brazil,7,2019,586
brazil,8,2019,541
brazil,9,2019,465
brazil,10,2019,558
brazil,11,2019,522
brazil,12,2019,551
brazil,1,2020,770
brazil,2,2020,552
brazil,3,2020,617
brazil,4,2020,619
brazil,5,2020,523
brazil,6,2020,444
brazil,7,2020,519
brazil,8,2020,513
brazil,9,2020,539
brazil,10,2020,637
brazil,11,2020,556
brazil,12,2020,553
brazil,1,2021,641
brazil,2,2021,486
brazil,3,2021,575
brazil,4,2021,583
brazil,5,2021,611
brazil,6,2021,594
brazil,7,2021,570
brazil,8,2021,616
brazil,9,2021,662
brazil,10,2021,705
brazil,11,2021,671
brazil,12,2021,632
brazil,1,2022,665
brazil,2,2022,593
brazil,3,2022,690
brazil,4,2022,736
brazil,5,2022,854
brazil,6,2022,768
brazil,7,2022,881
brazil,8,2022,950
brazil,9,2022,872
brazil,10,2022,869
brazil,11,2022,845
brazil,12,2022,740
brazil,1,2023,823
brazil,2,2023,718
brazil,3,2023,814
brazil,4,2023,727
brazil,5,2023,851
brazil,6,2023,764
brazil,7,2023,854
brazil,8,2023,870
brazil,9,2023,818
brazil,10,2023,807
brazil,11,2023,713
brazil,12,2023,667
brazil,1,2024,767
brazil,2,2024,646
brazil,3,2024,787
brazil,4,2024,716
brazil,5,2024,656
brazil,6,2024,662
brazil,7,2024,682
