country,year,month,gpr_index
australia,2006,1,0.06155740097165108
brazil,2006,1,0.0492459200322628
canada,2006,1,0.12311480194330215
china,2006,1,0.6309633851051331
france,2006,1,0.6371191143989563
germany,2006,1,0.517082154750824
india,2006,1,0.28316405415534973
italy,2006,1,0.1138811931014061
japan,2006,1,0.129270538687706
mexico,2006,1,0.05847953259944916
south_korea,2006,1,0.23391813039779663
russia,2006,1,0.6709756851196289
south_africa,2006,1,0.05232379212975502
turkiye,2006,1,0.05847953259944916
united_kingdom,2006,1,1.2065250873565674
united_states,2006,1,2.19144344329834
australia,2006,2,0.05412806198000908
brazil,2006,2,0.02865603193640709
canada,2006,2,0.19104021787643433
china,2006,2,0.471232533454895
france,2006,2,0.44576048851013184
germany,2006,2,0.35979241132736206
india,2006,2,0.2515362799167633
italy,2006,2,0.09870410710573196
japan,2006,2,0.15283216536045074
mexico,2006,2,0.07641608268022537
south_korea,2006,2,0.20696023106575012
russia,2006,2,0.5444645881652832
south_africa,2006,2,0.05094405636191368
turkiye,2006,2,0.07004807889461517
united_kingdom,2006,2,1.2417614459991455
united_states,2006,2,2.225618600845337
australia,2006,3,0.09469153732061386
brazil,2006,3,0.045911047607660294
canada,2006,3,0.238163560628891
china,2006,3,0.5279770493507385
france,2006,3,0.4390243887901306
germany,2006,3,0.26685795187950134
india,2006,3,0.3500717282295227
italy,2006,3,0.06886657327413559
japan,2006,3,0.1348637044429779
mexico,2006,3,0.06886657327413559
south_korea,2006,3,0.2582496404647827
russia,2006,3,0.5824964046478271
south_africa,2006,3,0.03730272501707077
turkiye,2006,3,0.08608321100473404
united_kingdom,2006,3,1.038737416267395
united_states,2006,3,2.1922523975372314
australia,2006,4,0.0814766064286232
brazil,2006,4,0.04387201741337776
canada,2006,4,0.22249381244182587
china,2006,4,0.538999080657959
france,2006,4,0.3572435975074768
germany,2006,4,0.2694995403289795
india,2006,4,0.23816238343715668
italy,2006,4,0.13474977016448975
japan,2006,4,0.13474977016448975
mexico,2006,4,0.10968004912137985
south_korea,2006,4,0.2036915123462677
russia,2006,4,0.4982607960700989
south_africa,2006,4,0.028203440830111504
turkiye,2006,4,0.10654633492231369
united_kingdom,2006,4,0.9777193069458008
united_states,2006,4,2.043182611465454
australia,2006,5,0.06284602731466293
brazil,2006,5,0.06883136183023453
canada,2006,5,0.194523423910141
china,2006,5,0.5686069130897522
france,2006,5,0.4848122000694275
germany,2006,5,0.40401017665863037
india,2006,5,0.14065539836883545
italy,2006,5,0.08678737282752991
japan,2006,5,0.0897800400853157
mexico,2006,5,0.10773604363203049
south_korea,2006,5,0.20350141823291779
russia,2006,5,0.5446655750274658
south_africa,2006,5,0.041897352784872055
turkiye,2006,5,0.0987580418586731
united_kingdom,2006,5,1.0444411039352417
united_states,2006,5,2.0020949840545654
australia,2006,6,0.10879748314619064
brazil,2006,6,0.07253165543079376
canada,2006,6,0.4351899325847626
china,2006,6,0.5409652590751648
france,2006,6,0.4503006935119629
germany,2006,6,0.3717247545719147
india,2006,6,0.22666142880916595
italy,2006,6,0.07857596129179001
japan,2006,6,0.2568829655647278
mexico,2006,6,0.07555381208658218
south_korea,2006,6,0.29314878582954407
russia,2006,6,0.5893197059631348
south_africa,2006,6,0.06044304743409157
turkiye,2006,6,0.10879748314619064
united_kingdom,2006,6,1.2632596492767334
united_states,2006,6,2.342168092727661
australia,2006,7,0.0698767602443695
brazil,2006,7,0.053995680063962936
canada,2006,7,0.49231356382369995
china,2006,7,0.7432346343994141
france,2006,7,0.7114725112915039
germany,2006,7,0.4287892282009125
india,2006,7,0.3843221962451935
italy,2006,7,0.3430313766002655
japan,2006,7,0.58760005235672
mexico,2006,7,0.139753520488739
south_korea,2006,7,0.7114725112915039
russia,2006,7,0.8829881548881531
south_africa,2006,7,0.04129081591963768
turkiye,2006,7,0.184220552444458
united_kingdom,2006,7,1.6897472143173218
united_states,2006,7,2.9761147499084473
australia,2006,8,0.09358763694763184
brazil,2006,8,0.04518023505806923
canada,2006,8,0.28721722960472107
china,2006,8,0.47116532921791077
france,2006,8,0.8584244847297668
germany,2006,8,0.45502951741218567
india,2006,8,0.25494563579559326
italy,2006,8,0.2613999545574188
japan,2006,8,0.164585143327713
mexico,2006,8,0.12585923075675964
south_korea,2006,8,0.20331107079982758
russia,2006,8,0.5518442988395691
south_africa,2006,8,0.029044438153505325
turkiye,2006,8,0.17103946208953857
united_kingdom,2006,8,2.1492884159088135
united_states,2006,8,3.0335302352905273
australia,2006,9,0.10623767226934433
brazil,2006,9,0.04856579005718231
canada,2006,9,0.3854909837245941
china,2006,9,0.49172863364219666
france,2006,9,0.5251176357269287
germany,2006,9,0.4765518307685852
india,2006,9,0.1699802726507187
italy,2006,9,0.239793598651886
japan,2006,9,0.17605099081993103
mexico,2006,9,0.15176810324192047
south_korea,2006,9,0.23675823211669922
russia,2006,9,0.5160115361213684
south_africa,2006,9,0.05160115286707878
turkiye,2006,9,0.15176810324192047
united_kingdom,2006,9,1.381089687347412
united_states,2006,9,2.479890823364258
australia,2006,10,0.14883166551589966
brazil,2006,10,0.056556034833192825
canada,2006,10,0.208364337682724
china,2006,10,1.0864711999893188
france,2006,10,0.5209108591079712
germany,2006,10,0.2649203836917877
india,2006,10,0.2589671015739441
italy,2006,10,0.0863223671913147
japan,2006,10,0.8721535801887512
mexico,2006,10,0.12501859664916992
south_korea,2006,10,1.3186485767364502
russia,2006,10,0.7947611212730408
south_africa,2006,10,0.07143919914960861
turkiye,2006,10,0.05953266844153404
united_kingdom,2006,10,1.2472094297409058
united_states,2006,10,2.5926477909088135
australia,2006,11,0.10626992583274841
brazil,2006,11,0.02732655219733715
